File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\Application.java,72,60,36,2,11,0,1,1,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\controllers\frontendcontrollers\HomeController.java,19,13,7,1,3,0,3,5,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\controllers\frontendcontrollers\MoviesController.java,563,374,210,39,57,0,132,655,3,8
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\controllers\frontendcontrollers\MusicsController.java,5,3,2,0,2,0,0,0,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\controllers\frontendcontrollers\SeriesController.java,5,3,2,0,2,0,0,0,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\helpers\CORSFilter.java,39,30,22,0,9,0,0,0,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\helpers\MultipartFileSender.java,348,232,189,35,58,9,58,438,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\helpers\StaticFactory.java,52,47,43,2,5,0,0,0,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\models\Comment.java,145,31,27,0,26,0,88,322,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\models\Message.java,26,21,12,2,5,0,0,0,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\models\Movie.java,258,54,47,1,47,0,157,565,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\models\PropertyValue.java,35,28,16,2,4,0,3,7,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\models\Rating.java,130,51,28,5,13,0,66,226,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\models\User.java,65,22,15,0,10,0,33,95,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\Repositories\CommentsRepository.java,19,14,12,0,5,0,0,0,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\Repositories\MoviesRepository.java,20,13,11,0,4,0,3,7,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\Repositories\MusicsRepository.java,5,3,2,0,2,0,0,0,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\Repositories\SeriesRepository.java,5,3,2,0,2,0,0,0,0,0
C:\Users\achab\IdeaProjects\vod\src\main\java\vod\Repositories\UsersRepository.java,12,9,7,0,3,0,0,0,0,0
C:\Users\achab\IdeaProjects\vod\src\test\java\vod\controllers\frontendcontrollers\MoviesControllerTest.java,1224,962,245,1,80,0,182,733,0,0
